Date,Close
2026-01-10,22105.16
2026-01-11,22046.14
2026-01-12,21993.39
2026-01-13,21982.96
2026-01-14,21973.18
2026-01-15,22075.17
2026-01-16,22189.35
2026-01-17,22099.38
2026-01-18,22130.18
2026-01-19,22120.16
2026-01-20,22142.74
2026-01-21,22255.60
2026-01-22,22236.48
2026-01-23,22220.75
2026-01-24,22113.99
2026-01-25,22100.96
2026-01-26,22075.23
2026-01-27,22059.52
2026-01-28,22134.09
2026-01-29,22144.99
2026-01-30,22047.88
2026-01-31,21931.34
2026-02-01,21832.34
2026-02-02,21761.72
2026-02-03,21691.57
2026-02-04,21643.19
2026-02-05,21544.28
2026-02-06,21450.40
2026-02-07,21410.21
2026-02-08,21463.39
2026-02-09,21352.87
2026-02-10,21287.77
2026-02-11,21363.36
2026-02-12,21288.70
2026-02-13,21311.50
2026-02-14,21397.70
2026-02-15,21313.23
2026-02-16,21260.24
2026-02-17,21251.99
2026-02-18,21291.85
